emp_id,department,job_role,job_level,business_travel,over_time,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
RM888,Research & Development,Research Director,3,Travel_Frequently,Yes,1,0,0,0
RM926,Research & Development,Research Scientist,2,Travel_Rarely,Yes,1,0,0,0
RM1089,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM1288,Research & Development,Healthcare Representative,2,Travel_Rarely,No,0,0,0,0
RM1326,Research & Development,Laboratory Technician,1,Travel_Rarely,No,0,0,0,0
RM1379,Sales,Sales Executive,2,Travel_Rarely,Yes,0,0,0,0
RM334,Research & Development,Healthcare Representative,3,Travel_Rarely,No,1,0,0,0
RM490,Research & Development,Research Director,4,Travel_Rarely,Yes,1,0,0,0
RM776,Sales,Sales Executive,3,Travel_Rarely,No,1,0,0,0
RM1263,Research & Development,Research Scientist,1,Travel_Frequently,Yes,1,0,0,0
RM863,Research & Development,Research Scientist,1,Non-Travel,No,0,0,0,0
RM1052,Sales,Sales Executive,2,Travel_Frequently,No,1,0,0,0
RM068,Research & Development,Research Scientist,3,Travel_Rarely,No,1,0,0,0
RM604,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM366,Research & Development,Manufacturing Director,2,Non-Travel,No,1,0,0,0
RM348,Sales,Sales Representative,2,Travel_Frequently,No,0,0,0,0
RM1235,Sales,Sales Executive,2,Non-Travel,No,1,0,0,0
RM051,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,1,0,0,0
RM679,Research & Development,Research Scientist,1,Travel_Rarely,No,0,0,0,0
RM902,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM905,Research & Development,Research Director,5,Travel_Rarely,No,1,0,0,0
RM900,Research & Development,Manager,5,Travel_Rarely,No,1,0,0,0
RM743,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM802,Sales,Sales Executive,2,Travel_Frequently,Yes,0,0,0,0
RM1127,Sales,Manager,5,Travel_Rarely,Yes,1,0,0,0
RM157,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1,0,0,0
RM432,Research & Development,Laboratory Technician,2,Travel_Rarely,No,1,0,0,0
RM1265,Research & Development,Research Director,5,Travel_Rarely,No,1,0,0,0
RM1372,Sales,Sales Executive,2,Travel_Rarely,No,0,0,0,0
RM425,Sales,Manager,4,Travel_Rarely,No,1,0,0,0
RM661,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,1,0,0,0
RM1375,Sales,Manager,4,Travel_Rarely,Yes,1,0,0,0
RM226,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM172,Sales,Sales Representative,1,Travel_Frequently,No,0,0,0,0
RM1340,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,0
RM586,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,0,0,0,0
RM477,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM1119,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM765,Sales,Sales Representative,1,Travel_Rarely,No,1,0,0,0
RM712,Research & Development,Research Scientist,1,Travel_Rarely,Yes,0,0,0,0
RM386,Research & Development,Research Scientist,1,Travel_Frequently,Yes,1,0,0,0
RM502,Research & Development,Research Scientist,1,Travel_Frequently,No,1,0,0,0
RM603,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,0,0,0,0
RM1395,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1,0,0,0
RM1256,Sales,Sales Executive,3,Travel_Rarely,Yes,0,0,0,0
RM119,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,0
RM1316,Research & Development,Research Scientist,2,Travel_Rarely,Yes,1,0,0,0
RM048,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM417,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,1,0,0,0
RM1033,Research & Development,Laboratory Technician,1,Non-Travel,Yes,1,0,0,0
RM392,Research & Development,Laboratory Technician,2,Travel_Rarely,No,1,0,0,0
RM357,Research & Development,Healthcare Representative,2,Travel_Rarely,No,1,0,0,0
RM662,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1,0,0,0
RM287,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,1,0,0,0
RM937,Research & Development,Manager,5,Travel_Frequently,No,0,0,0,0
RM353,Sales,Manager,3,Travel_Rarely,No,0,0,0,0
RM158,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,0
RM701,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,0
RM1210,Research & Development,Healthcare Representative,3,Travel_Rarely,No,1,0,0,0
RM910,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,1
RM024,Research & Development,Research Scientist,1,Travel_Rarely,No,0,0,0,
RM911,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,1
RM043,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,1
RM1189,Sales,Sales Executive,2,Travel_Rarely,Yes,10,0,0,9
RM008,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,
RM1234,Research & Development,Research Scientist,1,Travel_Rarely,No,10,0,0,8
RM1192,Sales,Sales Executive,2,Travel_Rarely,No,10,0,0,2
RM352,Research & Development,Laboratory Technician,1,Travel_Rarely,No,8,0,0,7
RM638,Research & Development,Laboratory Technician,1,Non-Travel,No,3,0,0,2
RM657,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,1
RM683,Research & Development,Laboratory Technician,1,Non-Travel,No,3,0,0,2
RM050,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,1
RM193,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,1,0,0,1
RM1135,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,1
RM070,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,
RM075,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,0,0,
RM359,Sales,Sales Executive,2,Non-Travel,No,1,0,0,
RM251,Research & Development,Manufacturing Director,3,Travel_Frequently,No,1,0,0,
RM390,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,1,0,0,1
RM653,Sales,Sales Executive,3,Non-Travel,Yes,10,0,0,9
RM560,Research & Development,Research Scientist,1,Travel_Rarely,Yes,1,0,0,1
RM459,Sales,Sales Executive,3,Non-Travel,No,1,0,0,1
RM1197,Sales,Sales Executive,3,Travel_Rarely,Yes,2,0,0,2
RM1130,Research & Development,Manager,5,Travel_Rarely,No,1,0,0,1
RM078,Research & Development,Research Director,3,Travel_Rarely,Yes,0,0,0,
RM1244,Human Resources,Human Resources,3,Travel_Rarely,No,5,0,0,3
RM1136,Sales,Manager,4,Travel_Rarely,No,26,0,0,12
RM429,Research & Development,Manufacturing Director,2,Travel_Rarely,No,5,0,0,4
RM720,Sales,Sales Executive,2,Travel_Rarely,Yes,9,0,0,7
RM234,Sales,Manager,5,Travel_Rarely,No,7,0,0,6
RM259,Research & Development,Research Scientist,1,Travel_Rarely,No,1,0,0,
RM066,Research & Development,Manager,4,Travel_Rarely,Yes,5,0,0,2
RM675,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes,6,0,0,4
RM007,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,1,0,0,
RM777,Sales,Sales Representative,1,Travel_Frequently,Yes,2,2,0,2
RM975,Sales,Sales Executive,2,Travel_Frequently,No,6,2,0,0
RM922,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,4,2,0,2
RM1073,Research & Development,Laboratory Technician,1,Travel_Frequently,No,3,2,0,2
RM1251,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes,3,2,0,2
RM1145,Sales,Sales Executive,2,Travel_Frequently,No,5,2,0,3
RM803,Sales,Sales Executive,2,Travel_Frequently,No,3,2,0,2
RM379,Sales,Sales Executive,2,Non-Travel,Yes,5,2,0,4
RM441,Human Resources,Human Resources,3,Travel_Frequently,Yes,3,2,0,2
RM795,Research & Development,Healthcare Representative,2,Travel_Frequently,No,6,2,0,4
RM823,Research & Development,Manufacturing Director,2,Travel_Frequently,No,3,2,0,2
RM821,Sales,Sales Executive,2,Travel_Frequently,No,5,2,0,2
RM1457,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes,10,2,0,2
RM1129,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,3,2,0,2
RM1441,Research & Development,Manufacturing Director,2,Travel_Frequently,No,4,2,0,2
RM1466,Research & Development,Laboratory Technician,2,Travel_Frequently,No,5,2,0,3
RM276,Research & Development,Research Director,3,Non-Travel,Yes,5,2,0,2
RM983,Research & Development,Research Scientist,1,Travel_Frequently,No,4,2,0,3
RM209,Research & Development,Healthcare Representative,2,Non-Travel,No,3,2,0,
RM958,Research & Development,Research Scientist,1,Non-Travel,No,4,2,0,0
RM1043,Research & Development,Laboratory Technician,1,Non-Travel,No,5,2,0,3
RM250,Research & Development,Manufacturing Director,2,Travel_Frequently,No,3,2,0,
RM1363,Research & Development,Healthcare Representative,2,Travel_Frequently,No,4,2,0,3
RM137,Research & Development,Manufacturing Director,3,Travel_Frequently,No,4,2,0,3
RM1269,Research & Development,Manufacturing Director,4,Non-Travel,Yes,3,2,0,2
RM663,Sales,Sales Representative,1,Travel_Rarely,No,2,2,0,2
RM667,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,3,2,0,2
RM1214,Sales,Sales Representative,1,Travel_Rarely,Yes,3,2,0,2
RM406,Research & Development,Laboratory Technician,1,Travel_Rarely,No,2,2,0,
RM289,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,3,2,0,2
RM015,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,4,2,0,3
RM646,Sales,Sales Representative,1,Travel_Rarely,Yes,3,2,0,2
RM215,Research & Development,Research Scientist,1,Travel_Rarely,Yes,5,2,0,4
RM721,Research & Development,Research Scientist,1,Travel_Rarely,Yes,5,2,0,1
RM592,Sales,Sales Executive,2,Travel_Rarely,No,3,2,0,2
RM830,Sales,Sales Executive,2,Travel_Rarely,Yes,5,2,0,3
RM726,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,4,2,0,2
RM101,Human Resources,Human Resources,1,Travel_Rarely,Yes,3,2,0,2
RM941,Research & Development,Research Scientist,1,Travel_Rarely,No,5,2,0,3
RM1172,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,4,2,0,3
RM037,Sales,Sales Representative,1,Travel_Rarely,Yes,3,2,0,2
RM1198,Sales,Sales Representative,1,Travel_Rarely,No,2,2,0,2
RM346,Research & Development,Research Scientist,1,Travel_Rarely,No,4,2,0,2
RM517,Research & Development,Research Scientist,1,Travel_Rarely,No,3,2,0,2
RM566,Research & Development,Research Scientist,1,Travel_Rarely,No,2,2,0,2
RM097,Sales,Sales Executive,2,Travel_Rarely,No,3,2,0,2
RM381,Sales,Sales Executive,2,Travel_Rarely,Yes,5,2,0,3
RM639,Sales,Sales Executive,2,Travel_Rarely,No,5,2,0,3
RM1004,Research & Development,Laboratory Technician,1,Travel_Rarely,No,3,2,0,2
RM1414,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,2,2,0,2
RM055,Sales,Sales Executive,2,Travel_Rarely,Yes,2,2,0,0
RM419,Research & Development,Research Scientist,1,Travel_Rarely,No,3,2,0,2
RM506,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,3,2,0,2
RM1225,Research & Development,Laboratory Technician,1,Travel_Rarely,No,3,2,0,2
RM1465,Sales,Sales Representative,1,Travel_Rarely,No,4,2,0,0
RM374,Research & Development,Laboratory Technician,1,Travel_Rarely,No,5,2,0,4
RM1170,Research & Development,Research Scientist,1,Travel_Rarely,No,3,2,0,2
RM1468,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,6,2,0,3
RM163,Research & Development,Research Scientist,1,Travel_Rarely,No,5,2,0,2
RM273,Research & Development,Research Scientist,1,Travel_Rarely,No,5,2,0,4
RM660,Sales,Sales Executive,2,Travel_Rarely,No,4,2,0,2
RM255,Sales,Sales Executive,2,Travel_Rarely,No,3,2,0,
RM421,Research & Development,Research Director,3,Travel_Rarely,No,10,2,0,7
RM582,Research & Development,Laboratory Technician,1,Travel_Rarely,No,2,2,0,2
RM783,Research & Development,Manufacturing Director,2,Travel_Rarely,No,6,2,0,2
RM1014,Sales,Sales Executive,2,Travel_Rarely,No,3,2,0,2
RM181,Research & Development,Research Scientist,1,Travel_Rarely,Yes,4,2,0,2
RM310,Research & Development,Research Scientist,1,Travel_Rarely,Yes,5,2,0,3
RM1036,Human Resources,Human Resources,1,Travel_Rarely,No,3,2,0,2
RM1228,Research & Development,Laboratory Technician,1,Travel_Rarely,No,5,2,0,3
RM1248,Sales,Sales Executive,2,Travel_Rarely,No,5,2,0,2
RM017,Research & Development,Research Scientist,1,Travel_Rarely,Yes,6,2,0,5
RM263,Research & Development,Laboratory Technician,2,Travel_Rarely,No,6,2,0,4
RM623,Sales,Sales Executive,2,Travel_Rarely,No,5,2,0,3
RM1076,Research & Development,Manager,3,Travel_Rarely,No,5,2,0,0
RM1140,Research & Development,Research Scientist,1,Travel_Rarely,No,3,2,0,2
RM247,Research & Development,Research Scientist,1,Travel_Rarely,No,2,2,0,2
RM674,Research & Development,Research Scientist,1,Travel_Rarely,Yes,3,2,0,2
RM713,Research & Development,Research Scientist,1,Travel_Rarely,No,3,2,0,2
RM1190,Sales,Sales Executive,2,Travel_Rarely,No,6,2,0,4
RM495,Sales,Sales Representative,1,Travel_Rarely,Yes,8,2,0,6
RM614,Human Resources,Human Resources,1,Travel_Rarely,No,3,2,0,2
RM918,Sales,Sales Executive,2,Travel_Rarely,Yes,3,2,0,2
RM1360,Sales,Sales Executive,2,Travel_Rarely,Yes,4,2,0,1
RM484,Research & Development,Laboratory Technician,2,Travel_Rarely,No,3,2,0,2
RM581,Sales,Sales Representative,1,Travel_Rarely,No,3,2,0,2
RM1124,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,5,2,0,4
RM1346,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,3,2,0,2
RM136,Research & Development,Manufacturing Director,2,Travel_Rarely,No,3,2,0,1
RM512,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,3,2,0,2
RM600,Human Resources,Human Resources,1,Travel_Rarely,No,5,2,0,4
RM681,Research & Development,Research Scientist,1,Travel_Rarely,No,6,2,0,1
RM1020,Sales,Sales Executive,2,Travel_Rarely,No,3,2,0,2
RM1174,Research & Development,Healthcare Representative,3,Travel_Rarely,No,3,2,0,2
RM1200,Research & Development,Healthcare Representative,2,Travel_Rarely,No,3,2,0,2
RM079,Research & Development,Research Director,3,Travel_Rarely,No,5,2,0,2
RM341,Research & Development,Manufacturing Director,2,Travel_Rarely,No,6,2,0,4
RM1002,Research & Development,Laboratory Technician,1,Travel_Rarely,No,3,2,0,2
RM1277,Sales,Sales Executive,2,Travel_Rarely,No,5,2,0,3
RM1309,Sales,Sales Representative,2,Travel_Rarely,Yes,4,2,0,3
RM1377,Research & Development,Research Scientist,1,Travel_Rarely,No,5,2,0,3
RM968,Research & Development,Laboratory Technician,1,Travel_Rarely,No,4,2,0,3
RM1029,Research & Development,Research Scientist,1,Travel_Rarely,Yes,4,2,0,3
RM254,Research & Development,Research Scientist,2,Travel_Rarely,Yes,3,2,0,
RM397,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,5,2,0,2
RM494,Human Resources,Human Resources,2,Travel_Rarely,No,2,2,0,2
RM498,Research & Development,Manager,5,Travel_Rarely,Yes,2,2,0,1
RM632,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,3,2,0,2
RM408,Research & Development,Research Scientist,1,Travel_Rarely,No,2,2,0,
RM855,Research & Development,Research Scientist,1,Travel_Rarely,Yes,3,2,0,2
RM080,Human Resources,Human Resources,2,Travel_Rarely,Yes,4,2,0,2
RM210,Research & Development,Healthcare Representative,3,Travel_Rarely,No,4,2,0,
RM430,Research & Development,Research Director,4,Travel_Rarely,No,3,2,0,1
RM870,Research & Development,Research Director,5,Travel_Rarely,No,4,2,0,3
RM493,Research & Development,Manager,4,Travel_Rarely,No,3,2,0,2
RM376,Research & Development,Healthcare Representative,3,Travel_Rarely,No,5,2,0,0
RM640,Research & Development,Research Scientist,1,Travel_Rarely,No,4,2,0,2
RM184,Research & Development,Laboratory Technician,1,Travel_Rarely,No,3,2,0,2
RM088,Research & Development,Laboratory Technician,1,Travel_Rarely,No,4,2,0,3
RM972,Research & Development,Manufacturing Director,4,Travel_Rarely,No,5,2,0,3
RM625,Sales,Sales Executive,3,Travel_Rarely,Yes,5,2,0,4
RM220,Sales,Sales Executive,2,Travel_Rarely,No,6,2,0,5
RM1337,Research & Development,Research Scientist,1,Travel_Rarely,No,5,2,0,4
RM893,Research & Development,Research Scientist,1,Non-Travel,Yes,1,1,0,0
RM1175,Research & Development,Manufacturing Director,2,Travel_Frequently,No,7,7,0,7
RM067,Research & Development,Manufacturing Director,2,Travel_Frequently,No,6,5,0,3
RM306,Research & Development,Laboratory Technician,2,Non-Travel,No,9,8,0,8
RM542,Research & Development,Research Director,3,Non-Travel,No,8,7,0,5
RM570,Sales,Sales Executive,3,Non-Travel,No,10,7,0,9
RM709,Sales,Sales Executive,2,Non-Travel,No,7,7,0,7
RM818,Research & Development,Manufacturing Director,2,Non-Travel,No,11,9,0,9
RM901,Research & Development,Research Scientist,1,Travel_Frequently,No,11,10,0,7
RM1348,Human Resources,Human Resources,2,Travel_Frequently,No,10,1,0,8
RM1384,Research & Development,Laboratory Technician,1,Non-Travel,No,5,4,0,2
RM223,Research & Development,Research Director,3,Travel_Frequently,Yes,10,8,0,7
RM649,Sales,Sales Representative,1,Travel_Frequently,No,5,4,0,0
RM723,Research & Development,Research Scientist,1,Travel_Frequently,No,2,1,0,2
RM1257,Research & Development,Laboratory Technician,1,Travel_Frequently,No,6,1,0,5
RM1374,Research & Development,Research Scientist,2,Travel_Frequently,Yes,20,11,0,7
RM450,Research & Development,Laboratory Technician,1,Travel_Frequently,No,8,3,0,7
RM817,Research & Development,Laboratory Technician,2,Non-Travel,No,5,4,0,3
RM993,Research & Development,Healthcare Representative,3,Non-Travel,No,6,4,0,5
RM692,Research & Development,Research Scientist,1,Travel_Frequently,Yes,1,1,0,0
RM846,Research & Development,Research Scientist,2,Travel_Frequently,Yes,1,1,0,0
RM1030,Research & Development,Laboratory Technician,2,Non-Travel,No,8,7,0,7
RM460,Research & Development,Healthcare Representative,2,Non-Travel,Yes,8,7,0,7
RM717,Research & Development,Research Director,5,Travel_Frequently,No,18,16,0,11
RM198,Research & Development,Manufacturing Director,2,Non-Travel,No,5,3,0,2
RM410,Research & Development,Research Scientist,2,Travel_Frequently,No,5,4,0,2
RM414,Research & Development,Healthcare Representative,2,Travel_Frequently,No,6,5,0,4
RM879,Human Resources,Human Resources,2,Non-Travel,No,4,3,0,3
RM331,Research & Development,Laboratory Technician,2,Travel_Frequently,No,9,7,0,0
RM813,Research & Development,Manufacturing Director,3,Travel_Frequently,No,8,7,0,1
RM1166,Human Resources,Human Resources,2,Travel_Frequently,Yes,10,7,0,2
RM505,Sales,Sales Executive,2,Travel_Frequently,No,1,1,0,0
RM697,Research & Development,Laboratory Technician,2,Non-Travel,No,9,7,0,8
RM719,Research & Development,Laboratory Technician,2,Non-Travel,Yes,9,8,0,8
RM049,Sales,Sales Executive,2,Travel_Frequently,Yes,9,6,0,8
