emp_id,employee_number,age,age_group,gender,marital_status,education,education_field,distance_from_home,num_companies_worked,total_working_years,attrition,attrition_count
RM1403,1974,31,26-35,Female,Divorced,1,Medical,2,1,1,No,0
RM102,134,32,26-35,Male,Single,1,Life Sciences,1,1,1,No,0
RM851,1190,32,26-35,Female,Divorced,1,Life Sciences,2,1,1,No,0
RM1206,1692,32,26-35,Male,Single,4,Life Sciences,2,1,1,Yes,1
RM1238,1734,32,26-35,Male,Single,2,Life Sciences,1,6,10,Yes,1
RM1320,1853,32,26-35,Male,Single,4,Marketing,10,8,4,No,0
RM364,485,33,26-35,Female,Single,3,Marketing,5,1,1,Yes,1
RM1075,1515,33,26-35,Male,Single,5,Life Sciences,8,2,14,No,0
RM115,151,34,26-35,Female,Divorced,4,Life Sciences,6,6,12,No,0
RM561,775,34,26-35,Female,Divorced,5,Life Sciences,8,3,7,No,0
RM804,1115,34,26-35,Male,Married,4,Life Sciences,3,3,6,No,0
RM907,1265,34,26-35,Female,Married,3,Technical Degree,20,0,2,No,0
RM1116,1577,34,26-35,Male,Single,4,Medical,7,1,1,No,0
RM041,53,35,26-35,Male,Divorced,2,Other,4,1,1,No,0
RM516,704,35,26-35,Male,Married,3,Life Sciences,3,1,1,No,0
RM558,771,35,26-35,Female,Divorced,4,Life Sciences,2,2,16,No,0
RM1060,1492,35,26-35,Male,Married,1,Life Sciences,7,1,1,No,0
RM1111,1569,35,26-35,Female,Divorced,3,Life Sciences,2,1,1,Yes,1
RM299,407,36,36-45,Male,Married,4,Life Sciences,18,4,4,No,0
RM762,1052,36,36-45,Male,Divorced,3,Other,15,7,9,Yes,1
RM1122,1585,36,36-45,Female,Single,4,Life Sciences,1,6,15,No,0
RM003,4,37,36-45,Male,Single,2,Other,2,6,7,Yes,1
RM105,139,37,36-45,Male,Divorced,2,Life Sciences,2,5,17,No,0
RM523,715,37,36-45,Male,Single,2,Life Sciences,10,3,4,No,0
RM629,868,37,36-45,Male,Divorced,4,Marketing,16,4,9,No,0
RM745,1033,37,36-45,Female,Married,2,Medical,11,5,15,Yes,1
RM796,1105,37,36-45,Female,Divorced,4,Life Sciences,10,2,8,No,0
RM199,271,38,36-45,Male,Married,4,Life Sciences,2,9,14,No,0
RM205,282,38,36-45,Male,Married,1,Medical,29,7,17,Yes,1
RM472,634,38,36-45,Female,Married,3,Medical,10,3,18,No,0
RM491,662,38,36-45,Female,Single,1,Life Sciences,1,3,8,No,0
RM543,743,38,36-45,Female,Single,3,Life Sciences,1,4,10,No,0
RM748,1036,38,36-45,Male,Single,4,Life Sciences,3,8,19,No,0
RM812,1125,38,36-45,Male,Single,2,Marketing,2,7,10,No,0
RM1203,1687,38,36-45,Female,Married,2,Medical,4,7,7,No,0
RM1392,1961,38,36-45,Male,Single,3,Life Sciences,1,4,20,No,0
RM034,42,39,36-45,Male,Married,3,Technical Degree,5,3,19,Yes,1
RM328,445,39,36-45,Female,Married,2,Medical,3,4,12,Yes,1
RM602,832,40,36-45,Male,Single,4,Medical,16,6,10,No,0
RM685,954,40,36-45,Male,Divorced,4,Marketing,10,2,11,No,0
RM707,986,40,36-45,Female,Single,3,Life Sciences,24,4,22,Yes,1
RM867,1212,40,36-45,Male,Married,4,Medical,2,5,5,No,0
RM1230,1724,40,36-45,Female,Married,2,Life Sciences,8,2,18,No,0
RM1428,2012,40,36-45,Male,Married,4,Life Sciences,1,8,8,No,0
RM216,298,41,36-45,Female,Single,3,Life Sciences,6,3,16,No,0
RM243,334,41,36-45,Male,Divorced,2,Life Sciences,19,2,17,No,0
RM831,1158,41,36-45,Male,Married,4,Life Sciences,12,3,6,No,0
RM865,1210,41,36-45,Male,Divorced,2,Life Sciences,5,6,5,Yes,1
RM349,468,42,36-45,Female,Single,5,Life Sciences,23,2,16,No,0
RM742,1029,42,36-45,Male,Married,2,Marketing,5,6,21,No,0
RM825,1148,42,36-45,Male,Single,3,Medical,29,4,16,No,0
RM888,1242,42,36-45,Female,Married,5,Medical,26,3,20,No,0
RM926,1292,42,36-45,Female,Married,4,Medical,7,6,18,No,0
RM1089,1542,42,36-45,Male,Married,3,Medical,2,4,4,No,0
RM1288,1803,42,36-45,Male,Married,3,Medical,13,5,10,No,0
RM1326,1860,42,36-45,Male,Single,3,Life Sciences,8,4,8,No,0
RM1379,1943,42,36-45,Male,Divorced,4,Marketing,12,3,14,No,0
RM334,451,43,36-45,Female,Married,3,Life Sciences,7,8,10,No,0
RM490,661,43,36-45,Male,Divorced,4,Other,6,4,21,No,0
RM776,1076,43,36-45,Male,Divorced,3,Medical,25,5,18,No,0
RM1263,1767,43,36-45,Male,Married,3,Technical Degree,17,9,6,Yes,1
RM863,1206,44,36-45,Male,Single,3,Life Sciences,17,2,6,No,0
RM1052,1481,44,36-45,Female,Married,5,Marketing,1,7,11,No,0
RM068,86,45,36-45,Male,Divorced,3,Life Sciences,7,2,25,No,0
RM604,834,45,36-45,Female,Single,3,Life Sciences,2,1,1,No,0
RM366,487,46,46-55,Female,Married,4,Medical,7,2,7,No,0
RM348,467,47,46-55,Male,Single,1,Medical,4,3,5,No,0
RM1235,1731,47,46-55,Male,Married,4,Marketing,2,7,4,No,0
RM051,64,48,46-55,Male,Single,2,Life Sciences,1,9,23,Yes,1
RM679,945,48,46-55,Male,Married,4,Medical,20,4,13,No,0
RM902,1258,48,46-55,Male,Single,2,Technical Degree,2,5,7,No,0
RM905,1263,48,46-55,Male,Single,3,Life Sciences,1,6,25,No,0
RM900,1256,49,46-55,Male,Married,2,Medical,4,2,23,No,0
RM743,1030,50,46-55,Male,Married,3,Life Sciences,9,4,8,No,0
RM802,1113,50,46-55,Male,Single,4,Other,1,3,5,Yes,1
RM1127,1591,50,46-55,Male,Married,3,Marketing,9,4,27,No,0
RM157,211,51,46-55,Male,Married,4,Medical,7,2,10,No,0
RM432,578,54,46-55,Female,Single,4,Life Sciences,8,7,19,No,0
RM1265,1770,55,46-55,Male,Married,3,Medical,2,8,34,No,0
RM1372,1935,56,55+,Female,Married,5,Marketing,11,4,6,No,0
RM425,568,57,55+,Male,Divorced,3,Marketing,29,3,32,No,0
RM661,918,58,55+,Male,Divorced,1,Life Sciences,2,9,3,Yes,1
RM1375,1938,58,55+,Female,Married,3,Life Sciences,21,4,29,No,0
RM226,309,59,55+,Male,Married,3,Life Sciences,3,3,7,No,0
RM172,235,19,18-25,Female,Single,1,Technical Degree,1,0,1,Yes,1
RM1340,1878,22,18-25,Male,Single,1,Life Sciences,7,1,1,Yes,1
RM586,811,23,18-25,Male,Married,3,Life Sciences,6,1,1,Yes,1
RM477,643,24,18-25,Male,Married,2,Other,17,1,1,No,0
RM1119,1581,26,26-35,Female,Married,3,Life Sciences,3,1,1,No,0
RM765,1056,28,26-35,Male,Married,1,Medical,10,1,1,No,0
RM712,994,29,26-35,Female,Single,3,Life Sciences,10,6,3,Yes,1
RM386,514,30,26-35,Male,Single,3,Technical Degree,4,9,3,Yes,1
RM502,680,30,26-35,Female,Divorced,3,Medical,3,1,1,No,0
RM603,833,30,26-35,Female,Single,3,Medical,2,5,12,No,0
RM1395,1966,32,26-35,Male,Single,4,Life Sciences,5,8,8,No,0
RM1256,1758,33,26-35,Female,Single,3,Life Sciences,16,2,11,Yes,1
RM119,155,36,36-45,Female,Divorced,2,Life Sciences,3,5,7,No,0
RM1316,1847,36,36-45,Female,Married,4,Other,2,4,15,No,0
RM048,61,37,36-45,Male,Married,2,Life Sciences,19,4,8,No,0
RM417,556,38,36-45,Male,Married,2,Life Sciences,2,1,1,No,0
RM1033,1458,39,36-45,Female,Single,3,Life Sciences,2,2,11,Yes,1
RM392,521,40,36-45,Female,Married,3,Medical,2,6,20,No,0
RM357,477,42,36-45,Male,Single,4,Other,2,3,14,No,0
RM662,920,43,36-45,Female,Divorced,3,Life Sciences,8,4,4,No,0
RM287,392,44,36-45,Male,Divorced,3,Life Sciences,24,3,19,Yes,1
RM937,1306,45,36-45,Female,Single,3,Medical,25,3,22,No,0
RM353,473,48,46-55,Female,Married,1,Medical,29,3,15,No,0
RM158,214,58,55+,Female,Married,3,Medical,9,4,9,No,0
RM701,977,58,55+,Male,Single,3,Technical Degree,2,4,7,Yes,1
RM1210,1697,60,55+,Male,Divorced,4,Medical,1,3,19,No,0
RM910,1269,19,18-25,Female,Single,3,Life Sciences,25,1,1,No,0
RM024,30,21,18-25,Male,Single,2,Life Sciences,15,1,0,No,0
RM911,1270,23,18-25,Male,Married,2,Life Sciences,1,1,1,No,0
RM043,55,26,26-35,Male,Single,3,Life Sciences,25,1,1,Yes,1
RM1189,1669,29,26-35,Male,Divorced,3,Medical,5,1,10,No,0
RM008,11,30,26-35,Male,Divorced,1,Life Sciences,24,1,1,No,0
RM1234,1729,30,26-35,Male,Married,1,Life Sciences,16,1,10,No,0
RM1192,1673,31,26-35,Female,Married,4,Life Sciences,5,1,10,No,0
RM352,471,32,26-35,Female,Married,3,Medical,2,1,8,No,0
RM638,882,32,26-35,Male,Divorced,3,Life Sciences,1,0,4,No,0
RM657,911,32,26-35,Male,Single,4,Life Sciences,25,1,1,Yes,1
RM683,951,32,26-35,Female,Married,3,Life Sciences,1,6,5,No,0
RM050,63,35,26-35,Male,Married,1,Life Sciences,8,1,1,No,0
RM193,261,35,26-35,Male,Married,2,Life Sciences,23,3,8,Yes,1
RM1135,1601,35,26-35,Male,Married,2,Life Sciences,7,1,1,No,0
RM070,90,36,36-45,Male,Married,3,Medical,9,0,2,Yes,1
RM075,97,36,36-45,Female,Married,3,Life Sciences,6,3,5,No,0
RM359,479,36,36-45,Female,Single,5,Medical,1,4,7,No,0
RM251,342,37,36-45,Male,Divorced,3,Medical,10,6,17,Yes,1
RM390,518,37,36-45,Male,Single,4,Life Sciences,10,2,18,No,0
RM653,904,37,36-45,Male,Single,2,Medical,19,1,10,No,0
RM560,773,38,36-45,Male,Married,5,Medical,2,6,6,No,0
RM459,615,40,36-45,Male,Divorced,3,Other,28,3,20,No,0
RM1197,1678,41,36-45,Male,Single,2,Life Sciences,23,3,21,No,0
RM1130,1595,42,36-45,Male,Single,2,Other,9,8,24,No,0
RM078,101,45,36-45,Male,Married,4,Other,6,4,17,No,0
RM1244,1744,45,36-45,Female,Married,3,Life Sciences,4,4,9,No,0
RM1136,1602,46,46-55,Male,Single,4,Life Sciences,1,1,27,No,0
RM429,574,47,46-55,Female,Divorced,2,Medical,2,5,20,No,0
RM720,1003,47,46-55,Female,Single,2,Life Sciences,4,1,9,No,0
RM234,323,50,46-55,Female,Divorced,4,Medical,1,3,32,No,0
RM259,353,51,46-55,Male,Married,3,Life Sciences,1,1,1,No,0
RM066,84,55,46-55,Female,Divorced,3,Medical,8,2,21,No,0
RM675,940,58,55+,Female,Divorced,3,Technical Degree,5,2,24,No,0
RM007,10,59,55+,Female,Married,3,Medical,3,4,12,No,0
RM777,1077,20,18-25,Female,Single,3,Marketing,9,1,2,Yes,1
RM975,1371,27,26-35,Male,Single,1,Life Sciences,2,3,8,No,0
RM922,1286,28,26-35,Male,Single,4,Medical,1,0,5,No,0
RM1073,1513,29,26-35,Female,Married,1,Life Sciences,2,0,4,No,0
RM1251,1753,29,26-35,Male,Single,3,Life Sciences,1,8,10,No,0
RM1145,1613,31,26-35,Male,Single,4,Other,2,7,10,No,0
RM803,1114,33,26-35,Female,Married,3,Life Sciences,7,0,4,No,0
RM379,502,34,26-35,Male,Single,3,Marketing,19,8,9,Yes,1
RM441,590,34,26-35,Female,Divorced,3,Human Resources,23,9,11,Yes,1
RM795,1103,34,26-35,Male,Single,1,Life Sciences,3,0,7,No,0
RM823,1140,34,26-35,Male,Single,2,Life Sciences,2,2,5,No,0
RM821,1137,35,26-35,Male,Divorced,2,Marketing,11,1,5,No,0
RM1457,2049,35,26-35,Male,Married,4,Life Sciences,18,1,10,No,0
RM1129,1594,36,36-45,Male,Married,4,Life Sciences,6,3,9,No,0
RM1441,2025,36,36-45,Female,Divorced,2,Life Sciences,4,7,18,No,0
RM1466,2061,36,36-45,Male,Married,2,Medical,23,4,17,No,0
RM276,380,37,36-45,Female,Divorced,4,Medical,1,2,15,No,0
RM983,1382,38,36-45,Male,Divorced,3,Life Sciences,7,1,4,No,0
RM209,287,40,36-45,Male,Married,5,Life Sciences,9,9,5,No,0
RM958,1340,40,36-45,Male,Divorced,2,Life Sciences,16,9,6,No,0
RM1043,1471,44,36-45,Male,Single,3,Life Sciences,5,3,7,No,0
RM250,341,45,36-45,Male,Married,4,Life Sciences,7,4,9,No,0
RM1363,1922,45,36-45,Male,Single,4,Medical,1,4,12,No,0
RM137,179,51,46-55,Male,Single,4,Life Sciences,8,2,18,Yes,1
RM1269,1775,53,46-55,Female,Married,4,Medical,1,4,27,No,0
RM663,922,20,18-25,Female,Single,3,Medical,2,1,2,Yes,1
RM667,926,22,18-25,Female,Married,1,Life Sciences,3,0,4,Yes,1
RM1214,1702,23,18-25,Male,Divorced,3,Life Sciences,7,1,3,Yes,1
RM406,538,25,18-25,Male,Married,3,Medical,3,5,6,Yes,1
RM289,394,26,26-35,Male,Divorced,4,Medical,16,2,5,Yes,1
RM015,19,28,26-35,Male,Single,3,Life Sciences,24,5,6,Yes,1
RM646,896,29,26-35,Female,Divorced,3,Medical,1,6,5,Yes,1
RM215,297,30,26-35,Female,Single,3,Technical Degree,3,5,8,Yes,1
RM721,1004,30,26-35,Female,Married,3,Life Sciences,22,4,7,Yes,1
RM592,819,33,26-35,Female,Single,3,Marketing,16,5,6,Yes,1
RM830,1157,33,26-35,Female,Single,4,Marketing,9,0,6,Yes,1
RM726,1010,35,26-35,Male,Divorced,4,Other,14,1,5,Yes,1
RM101,133,37,36-45,Male,Divorced,4,Human Resources,6,4,7,Yes,1
RM941,1310,39,36-45,Male,Single,3,Medical,23,0,6,Yes,1
RM1172,1649,40,36-45,Male,Single,3,Life Sciences,7,3,10,Yes,1
RM037,47,50,46-55,Male,Married,2,Marketing,3,1,3,Yes,1
RM1198,1680,20,18-25,Male,Single,1,Life Sciences,9,1,2,No,0
RM346,465,23,18-25,Male,Divorced,1,Life Sciences,26,1,4,No,0
RM517,705,23,18-25,Male,Married,3,Medical,4,2,5,No,0
RM566,784,23,18-25,Male,Single,1,Medical,10,1,2,No,0
RM097,128,24,18-25,Female,Married,2,Other,3,0,4,No,0
RM381,507,24,18-25,Female,Divorced,4,Marketing,10,1,5,No,0
RM639,885,25,18-25,Male,Married,1,Marketing,4,1,5,No,0
RM1004,1415,25,18-25,Male,Married,3,Technical Degree,1,4,7,No,0
RM1414,1992,25,18-25,Male,Divorced,1,Other,2,6,7,No,0
RM055,72,26,26-35,Female,Married,3,Marketing,23,7,5,No,0
RM419,560,26,26-35,Female,Divorced,3,Life Sciences,23,1,3,No,0
RM506,686,26,26-35,Female,Married,3,Life Sciences,6,1,3,No,0
RM1225,1718,26,26-35,Male,Married,4,Medical,17,1,3,No,0
RM1465,2060,26,26-35,Female,Single,3,Other,5,0,5,No,0
RM374,497,27,26-35,Male,Divorced,2,Medical,1,1,5,No,0
RM1170,1647,27,26-35,Female,Married,3,Medical,8,7,5,No,0
RM1468,2064,27,26-35,Male,Married,3,Life Sciences,4,1,6,No,0
RM163,221,28,26-35,Male,Married,3,Medical,21,1,5,No,0
RM273,377,28,26-35,Male,Married,3,Medical,9,1,5,No,0
RM660,916,28,26-35,Male,Single,4,Medical,5,1,4,No,0
RM255,349,29,26-35,Male,Divorced,2,Marketing,20,2,10,No,0
RM421,564,29,26-35,Male,Married,4,Medical,3,1,10,No,0
RM582,806,30,26-35,Male,Married,3,Life Sciences,1,3,7,No,0
RM783,1084,30,26-35,Male,Married,3,Other,20,0,7,No,0
RM1014,1428,30,26-35,Female,Divorced,4,Marketing,7,7,8,No,0
RM181,246,31,26-35,Female,Married,1,Medical,12,8,7,No,0
RM310,423,31,26-35,Male,Married,4,Technical Degree,5,0,6,No,0
RM1036,1461,31,26-35,Female,Single,2,Medical,8,9,8,No,0
RM1228,1721,31,26-35,Male,Married,4,Life Sciences,2,1,6,No,0
RM1248,1749,31,26-35,Male,Married,3,Technical Degree,5,1,6,No,0
RM017,21,32,26-35,Male,Divorced,2,Life Sciences,5,0,7,No,0
RM263,362,32,26-35,Male,Single,1,Technical Degree,2,4,9,No,0
RM623,859,32,26-35,Male,Divorced,4,Life Sciences,13,2,8,No,0
RM1076,1516,32,26-35,Male,Single,3,Medical,10,2,10,No,0
RM1140,1607,32,26-35,Female,Married,4,Other,5,3,6,No,0
RM247,338,33,26-35,Female,Married,4,Life Sciences,5,1,2,No,0
RM674,939,33,26-35,Male,Single,4,Other,1,3,6,No,0
RM713,995,33,26-35,Female,Single,1,Life Sciences,13,3,5,No,0
RM1190,1670,33,26-35,Male,Divorced,4,Medical,2,1,6,No,0
RM495,666,34,26-35,Female,Divorced,3,Technical Degree,14,1,8,No,0
RM614,847,34,26-35,Male,Married,2,Human Resources,3,0,4,No,0
RM918,1281,34,26-35,Female,Single,3,Marketing,2,0,4,No,0
RM1360,1915,34,26-35,Female,Married,1,Medical,3,3,9,No,0
RM484,652,35,26-35,Male,Single,2,Other,25,4,9,No,0
RM581,805,35,26-35,Female,Married,4,Life Sciences,8,1,3,No,0
RM1124,1587,35,26-35,Female,Single,4,Medical,10,3,10,No,0
RM1346,1886,35,26-35,Female,Married,2,Other,16,0,4,No,0
RM136,178,36,36-45,Male,Divorced,2,Medical,6,6,7,No,0
RM512,699,36,36-45,Male,Divorced,2,Medical,9,2,13,No,0
RM600,829,36,36-45,Male,Married,3,Human Resources,13,4,8,No,0
RM681,949,36,36-45,Male,Single,4,Other,7,2,8,No,0
RM1020,1436,36,36-45,Female,Married,4,Marketing,16,4,11,No,0
RM1174,1651,36,36-45,Female,Married,4,Life Sciences,5,4,9,No,0
RM1200,1682,36,36-45,Male,Married,4,Life Sciences,26,6,10,No,0
RM079,102,37,36-45,Male,Single,4,Medical,7,4,16,No,0
RM341,460,37,36-45,Male,Divorced,2,Medical,5,7,8,No,0
RM1002,1411,37,36-45,Female,Single,3,Medical,11,4,8,No,0
RM1277,1787,37,36-45,Male,Married,2,Marketing,9,1,5,No,0
RM1309,1835,38,36-45,Female,Married,4,Marketing,2,2,20,No,0
RM1377,1940,38,36-45,Male,Divorced,2,Life Sciences,9,2,10,No,0
RM968,1361,40,36-45,Male,Married,4,Life Sciences,1,3,7,No,0
RM1029,1448,41,36-45,Male,Married,5,Medical,5,2,7,No,0
RM254,347,42,36-45,Female,Single,2,Life Sciences,17,3,10,No,0
RM397,526,43,36-45,Female,Divorced,4,Other,8,4,8,No,0
RM494,665,44,36-45,Female,Single,4,Life Sciences,1,4,10,No,0
RM498,671,44,36-45,Male,Married,4,Other,3,4,26,No,0
RM632,874,44,36-45,Male,Married,4,Life Sciences,8,2,10,No,0
RM408,544,45,36-45,Male,Married,2,Life Sciences,10,3,8,No,0
RM855,1195,45,36-45,Female,Married,3,Medical,7,4,7,No,0
RM080,103,46,46-55,Male,Divorced,2,Medical,5,8,16,No,0
RM210,288,46,46-55,Male,Divorced,4,Medical,1,7,17,No,0
RM430,575,46,46-55,Male,Married,3,Life Sciences,2,6,26,No,0
RM870,1217,46,46-55,Male,Married,2,Life Sciences,15,5,25,No,0
RM493,664,48,46-55,Female,Married,4,Life Sciences,1,7,21,No,0
RM376,499,49,46-55,Male,Single,3,Other,7,8,26,No,0
RM640,887,49,46-55,Female,Married,3,Technical Degree,1,2,7,No,0
RM184,249,50,46-55,Male,Married,3,Medical,1,2,5,No,0
RM088,116,51,46-55,Male,Married,4,Life Sciences,9,3,10,No,0
RM972,1367,51,46-55,Female,Single,2,Technical Degree,11,3,29,No,0
RM625,862,53,46-55,Female,Married,2,Marketing,7,7,35,No,0
RM220,303,54,46-55,Female,Married,3,Marketing,3,2,16,No,0
RM1337,1873,55,46-55,Male,Married,4,Technical Degree,2,8,19,No,0
RM893,1248,19,18-25,Female,Single,3,Medical,10,1,1,Yes,1
RM1175,1653,25,18-25,Male,Divorced,1,Life Sciences,2,1,7,No,0
RM067,85,36,36-45,Male,Single,3,Life Sciences,11,1,6,No,0
RM306,419,36,36-45,Female,Married,4,Life Sciences,24,7,11,No,0
RM542,742,36,36-45,Female,Married,3,Life Sciences,8,9,10,No,0
RM570,789,36,36-45,Male,Single,4,Life Sciences,8,1,10,No,0
RM709,990,36,36-45,Male,Divorced,4,Technical Degree,8,4,12,No,0
RM818,1133,36,36-45,Male,Single,4,Life Sciences,18,2,18,No,0
RM901,1257,36,36-45,Male,Married,3,Technical Degree,3,1,12,No,0
RM1348,1890,36,36-45,Male,Single,1,Human Resources,2,1,10,No,0
RM1384,1949,36,36-45,Male,Married,4,Life Sciences,9,1,5,No,0
RM223,306,37,36-45,Male,Divorced,3,Other,11,1,10,No,0
RM649,900,37,36-45,Female,Married,2,Medical,21,5,10,No,0
RM723,1006,38,36-45,Male,Married,1,Medical,10,0,3,No,0
RM1257,1760,38,36-45,Female,Married,2,Medical,2,4,9,No,0
RM1374,1937,38,36-45,Female,Divorced,3,Medical,8,1,20,No,0
RM450,602,39,36-45,Female,Married,1,Life Sciences,8,1,8,No,0
RM817,1132,39,36-45,Male,Single,3,Life Sciences,9,9,9,No,0
RM993,1397,39,36-45,Male,Married,2,Life Sciences,25,3,13,No,0
RM692,964,40,36-45,Male,Divorced,4,Medical,9,8,3,No,0
RM846,1180,40,36-45,Female,Married,2,Medical,26,3,16,No,0
RM1030,1449,40,36-45,Male,Divorced,4,Other,9,3,11,No,0
RM460,616,41,36-45,Female,Single,4,Other,2,2,10,No,0
RM717,999,41,36-45,Male,Divorced,3,Medical,9,2,21,No,0
RM198,270,42,36-45,Female,Divorced,2,Medical,21,2,11,No,0
RM410,547,42,36-45,Female,Divorced,2,Life Sciences,29,2,19,No,0
RM414,551,42,36-45,Female,Married,4,Technical Degree,28,0,7,No,0
RM879,1231,42,36-45,Male,Married,5,Medical,2,7,10,No,0
RM331,448,43,36-45,Female,Divorced,4,Life Sciences,10,1,9,No,0
RM813,1126,43,36-45,Female,Married,3,Life Sciences,27,8,18,No,0
RM1166,1642,44,36-45,Male,Married,5,Human Resources,1,4,14,No,0
RM505,684,45,36-45,Female,Married,4,Life Sciences,26,2,5,Yes,1
RM697,972,45,36-45,Male,Married,2,Life Sciences,4,1,9,No,0
RM719,1002,45,36-45,Male,Married,2,Life Sciences,23,1,9,No,0
RM049,62,46,46-55,Male,Single,4,Marketing,5,4,14,No,0
RM1469,2065,49,46-55,Male,Married,3,Medical,2,2,17,No,0
RM107,141,50,46-55,Female,Married,3,Life Sciences,1,3,28,No,0
RM752,1040,50,46-55,Female,Married,3,Life Sciences,1,0,19,No,0
RM1453,2044,50,46-55,Male,Divorced,4,Life Sciences,1,7,12,Yes,1
RM628,867,52,46-55,Female,Married,4,Medical,25,3,31,No,0
RM995,1401,52,46-55,Female,Married,2,Medical,28,2,24,No,0
RM1435,2019,52,46-55,Male,Divorced,4,Life Sciences,29,2,16,No,0
RM333,450,54,46-55,Female,Single,4,Life Sciences,20,3,20,No,0
RM773,1071,56,55+,Female,Married,3,Medical,9,2,18,No,0
RM108,142,25,18-25,Male,Single,3,Marketing,5,1,6,Yes,1
RM022,27,36,36-45,Male,Single,4,Life Sciences,9,7,10,Yes,1
RM1292,1809,37,36-45,Male,Single,4,Medical,10,1,10,Yes,1
RM001,1,41,36-45,Female,Single,2,Life Sciences,1,8,8,Yes,1
