emp_id,monthly_income,salary_slab,daily_rate,hourly_rate,monthly_rate,percent_salary_hike,stock_option_level
RM1170,3517,Upto 5k,486,86,22490,17,0
RM1468,6142,5k-10k,155,87,5174,20,1
RM163,2713,Upto 5k,440,42,6672,11,1
RM273,2070,Upto 5k,1158,94,2613,23,1
RM660,4908,Upto 5k,821,98,24252,14,0
RM255,6931,5k-10k,1247,45,10732,14,1
RM421,11935,10k-15k,986,93,21526,18,0
RM582,3833,Upto 5k,921,38,24375,21,2
RM783,9957,5k-10k,1176,85,9096,15,1
RM1014,4779,Upto 5k,855,73,12761,14,2
RM181,3929,Upto 5k,140,95,6984,23,1
RM310,4821,Upto 5k,691,86,10077,12,1
RM1036,2109,Upto 5k,1398,96,24609,18,0
RM1228,3477,Upto 5k,741,69,18103,14,1
RM1248,8346,5k-10k,1003,51,20943,19,1
RM017,3298,Upto 5k,334,80,15053,12,2
RM263,2176,Upto 5k,128,84,19737,13,0
RM623,4403,Upto 5k,117,73,9250,11,1
RM1076,11244,10k-15k,495,64,21072,25,0
RM1140,3312,Upto 5k,634,35,18783,17,2
RM247,2911,Upto 5k,832,63,14776,13,1
RM674,2799,Upto 5k,1198,100,3339,11,0
RM713,3452,Upto 5k,461,53,17241,18,0
RM1190,5505,5k-10k,392,93,3921,14,2
RM495,2579,Upto 5k,204,31,2912,18,2
RM614,3737,Upto 5k,829,88,2243,19,1
RM918,4538,Upto 5k,131,86,6039,12,0
RM1360,8103,5k-10k,735,75,16495,12,0
RM484,3681,Upto 5k,538,54,14004,14,0
RM581,2572,Upto 5k,384,72,20317,16,1
RM1124,6142,5k-10k,670,51,4223,16,0
RM1346,4788,Upto 5k,219,44,25388,11,0
RM136,4941,Upto 5k,216,84,2819,20,2
RM512,8847,5k-10k,913,48,13934,11,1
RM600,2143,Upto 5k,1041,36,25527,13,1
RM681,4678,Upto 5k,188,65,23293,18,0
RM1020,5647,5k-10k,329,98,13494,13,2
RM1174,8008,5k-10k,711,42,22792,12,2
RM1200,5347,5k-10k,1351,80,7419,14,2
RM079,13664,10k-15k,397,30,25258,13,0
RM341,6347,5k-10k,1192,61,23177,16,2
RM1002,3629,Upto 5k,1462,94,19106,18,0
RM1277,4189,Upto 5k,589,46,8800,14,2
RM1309,5405,5k-10k,723,77,4244,20,2
RM1377,4771,Upto 5k,1206,71,14293,19,2
RM968,2387,Upto 5k,329,88,6762,22,1
RM1029,2127,Upto 5k,1283,90,5561,12,0
RM254,6545,5k-10k,916,82,23016,13,0
RM397,4522,Upto 5k,1473,74,2227,14,0
RM494,5985,5k-10k,1112,50,26894,11,0
RM498,19513,15k+,1315,35,9358,12,1
RM632,2818,Upto 5k,986,62,5044,24,1
RM408,2654,Upto 5k,192,69,9655,21,2
RM855,4477,Upto 5k,1457,83,20100,19,1
RM080,5021,5k-10k,945,80,10425,22,1
RM210,9396,5k-10k,644,97,12368,16,1
RM430,17861,15k+,1009,51,2288,13,0
RM870,19081,15k+,1450,52,10849,11,1
RM493,15402,15k+,1236,40,17997,11,1
RM376,10965,10k-15k,1261,31,12066,24,0
RM640,3580,Upto 5k,1418,36,10554,16,1
RM184,3690,Upto 5k,328,86,3425,15,1
RM088,2075,Upto 5k,432,96,18725,23,2
RM972,13142,10k-15k,1405,82,24439,16,0
RM625,10934,10k-15k,661,78,20715,18,1
RM220,5940,5k-10k,1147,52,17011,14,1
RM1337,2662,Upto 5k,836,98,7975,20,1
RM893,1859,Upto 5k,504,96,6148,25,0
RM1175,5206,5k-10k,772,77,4973,17,2
RM067,6499,5k-10k,1195,95,22656,13,0
RM306,5674,5k-10k,1105,47,6927,15,1
RM542,11713,10k-15k,427,63,20335,14,1
RM570,7587,5k-10k,1434,76,14229,15,0
RM709,5079,5k-10k,1229,84,25952,13,2
RM818,7779,5k-10k,217,78,23238,20,0
RM901,3692,Upto 5k,469,46,9256,12,0
RM1348,3886,Upto 5k,1213,94,4223,21,0
RM1384,2810,Upto 5k,1351,66,9238,22,0
RM223,12185,10k-15k,663,47,10056,14,3
RM649,2973,Upto 5k,1231,54,21222,15,1
RM723,2684,Upto 5k,1391,66,12127,17,1
RM1257,2468,Upto 5k,594,75,15963,14,1
RM1374,2133,Upto 5k,1394,58,18115,16,1
RM450,3755,Upto 5k,443,48,17872,11,1
RM817,6782,5k-10k,439,70,8770,15,0
RM993,10920,10k-15k,1485,71,3449,21,1
RM692,3617,Upto 5k,1469,35,25063,14,1
RM846,4422,Upto 5k,902,92,21203,13,1
RM1030,3975,Upto 5k,663,81,23099,11,2
RM460,6811,5k-10k,509,62,2112,17,0
RM717,19419,15k+,840,64,3735,17,1
RM198,5265,5k-10k,926,36,16439,16,1
RM410,4556,Upto 5k,532,92,12932,11,1
RM414,4523,Upto 5k,1368,88,4386,11,3
RM879,6272,5k-10k,179,79,12858,16,1
RM331,5257,5k-10k,559,82,6227,11,1
RM813,10820,10k-15k,1082,83,11535,11,1
RM1166,5743,5k-10k,602,37,10503,11,0
RM505,4286,Upto 5k,306,100,5630,14,2
RM697,4447,Upto 5k,805,57,23163,12,0
RM719,3633,Upto 5k,248,42,14039,15,1
RM049,5772,5k-10k,1211,98,20445,21,0
RM1469,5390,5k-10k,1023,63,13243,14,0
RM107,18172,15k+,1115,73,9755,19,0
RM752,6347,5k-10k,145,95,24920,12,1
RM1453,6728,5k-10k,878,94,14255,12,2
RM628,13826,10k-15k,890,81,19028,22,0
RM995,13247,10k-15k,322,59,9731,11,1
RM1435,3482,Upto 5k,585,40,19788,15,2
RM333,4869,Upto 5k,928,31,16885,12,0
RM773,2942,Upto 5k,1240,63,12154,19,1
RM108,5744,5k-10k,240,46,26959,11,0
RM022,3407,Upto 5k,1218,82,6986,23,0
RM1292,4213,Upto 5k,370,58,4992,15,0
RM001,5993,5k-10k,1102,94,19479,11,0
RM183,3140,Upto 5k,1356,70,21728,22,0
RM858,2936,Upto 5k,1097,96,10826,11,0
RM929,7978,5k-10k,621,73,14075,11,1
RM1334,7314,5k-10k,1254,64,14011,21,3
RM854,2552,Upto 5k,645,54,7172,25,0
RM551,2500,Upto 5k,650,37,4344,14,1
RM1026,4162,Upto 5k,1476,42,15211,12,2
RM1098,2296,Upto 5k,350,57,10036,14,3
RM1218,4401,Upto 5k,581,62,17616,16,1
RM479,2096,Upto 5k,622,40,26376,11,0
RM619,3424,Upto 5k,180,65,21632,13,0
RM635,4194,Upto 5k,141,98,14363,18,0
RM1434,4907,Upto 5k,1382,85,13684,22,1
RM039,3419,Upto 5k,852,82,13072,14,1
RM594,5228,5k-10k,676,35,23361,15,1
RM634,2342,Upto 5k,1278,77,8635,21,0
RM1012,9278,5k-10k,1174,99,20763,16,0
RM1184,6842,5k-10k,1040,79,26308,20,1
RM1454,6652,5k-10k,1120,100,14369,13,1
RM060,5993,5k-10k,1115,51,2689,18,1
RM249,3920,Upto 5k,1017,83,18697,14,1
RM274,6502,5k-10k,228,98,22825,14,1
RM365,3452,Upto 5k,921,98,17663,20,1
RM768,4107,Upto 5k,124,35,13848,15,0
RM1159,5768,5k-10k,671,85,26493,17,3
RM1345,4284,Upto 5k,783,78,13588,22,1
RM169,8686,5k-10k,702,59,12930,22,0
RM308,12061,10k-15k,849,81,26707,17,1
RM519,4028,Upto 5k,243,46,7791,20,0
RM1162,7756,5k-10k,397,54,14199,19,1
RM1273,3702,Upto 5k,1153,40,16376,11,1
RM655,5204,5k-10k,1383,42,7790,11,2
RM706,7880,5k-10k,903,41,2560,18,0
RM1156,3069,Upto 5k,170,76,10302,15,1
RM336,7457,5k-10k,1124,57,13273,22,3
RM1287,3377,Upto 5k,616,99,25605,17,1
RM1300,6513,5k-10k,1194,52,9060,17,1
RM1458,2001,Upto 5k,1194,98,12549,14,3
RM134,8189,5k-10k,802,96,21196,13,1
RM301,16015,15k+,334,88,15896,19,0
RM404,8392,5k-10k,645,49,19566,16,1
RM784,3376,Upto 5k,509,43,18863,13,0
RM1267,2289,Upto 5k,548,94,20520,20,2
RM1446,13570,10k-15k,582,60,5640,23,1
RM1449,8938,5k-10k,930,57,12227,11,1
RM598,6062,5k-10k,932,43,4051,13,1
RM673,6244,5k-10k,462,68,7824,17,0
RM1000,16799,15k+,1147,31,16616,14,1
RM1264,2766,Upto 5k,855,57,8952,22,3
RM899,19740,15k+,920,96,18625,14,1
RM1134,4876,Upto 5k,990,87,5855,12,1
RM1400,7510,5k-10k,574,30,16873,17,1
RM142,3452,Upto 5k,1316,83,9752,13,0
RM154,2348,Upto 5k,194,60,10901,18,1
RM175,5006,5k-10k,1268,30,6319,11,1
RM626,10761,10k-15k,930,74,19239,12,1
RM714,2270,Upto 5k,974,91,11005,14,2
RM760,2177,Upto 5k,788,36,8318,16,0
RM1035,10851,10k-15k,1038,95,19863,18,1
RM1093,2132,Upto 5k,950,97,4585,20,1
RM1455,4850,Upto 5k,374,50,23333,15,0
RM413,4810,Upto 5k,1485,87,26314,14,1
RM724,10845,10k-15k,566,75,24208,13,1
RM917,18789,15k+,168,33,9946,14,1
RM1232,5562,5k-10k,717,34,9697,14,0
RM1236,10368,10k-15k,1277,74,5596,12,1
RM970,7898,5k-10k,855,54,18706,11,0
RM317,13964,10k-15k,1091,90,17810,12,0
RM474,19502,15k+,1245,58,2125,17,1
RM1055,10466,10k-15k,1490,35,20948,14,2
RM1196,15379,15k+,809,36,22384,14,0
RM1255,4507,Upto 5k,1313,80,8191,12,0
RM589,17639,15k+,691,64,6881,16,0
RM377,4936,Upto 5k,1178,87,14862,11,1
RM963,14026,10k-15k,770,84,17588,11,1
RM407,7969,5k-10k,319,39,19609,14,0
RM1001,2950,Upto 5k,258,54,17363,13,0
RM096,13549,10k-15k,1217,60,24001,12,1
RM729,10739,10k-15k,1441,56,13943,11,1
RM895,17779,15k+,685,85,23474,14,0
RM284,5415,5k-10k,147,37,15972,19,1
RM1011,14732,10k-15k,1136,81,12414,13,2
RM086,7260,5k-10k,1400,49,21698,11,0
RM759,11904,10k-15k,1089,66,11038,14,1
RM898,5171,5k-10k,326,48,16490,17,0
RM844,4420,Upto 5k,1384,82,13421,22,1
RM1005,3578,Upto 5k,652,100,23577,12,0
RM192,2279,Upto 5k,894,99,11781,16,0
RM321,4478,Upto 5k,1377,74,5242,11,0
RM340,6214,5k-10k,1130,56,3415,18,1
RM486,2187,Upto 5k,798,66,5013,12,2
RM531,7412,5k-10k,608,68,6009,11,0
RM555,6811,5k-10k,975,55,23398,19,0
RM611,12808,10k-15k,269,42,8842,16,1
RM671,2318,Upto 5k,618,76,17808,19,0
RM903,2517,Upto 5k,1167,76,3208,11,3
RM1150,4066,Upto 5k,1302,67,16290,11,2
RM1351,6500,5k-10k,511,89,26997,14,0
RM1394,4105,Upto 5k,954,44,5099,14,0
RM290,3310,Upto 5k,1117,66,4488,21,0
RM303,5661,5k-10k,1476,68,4824,19,0
RM375,5253,5k-10k,304,92,20750,16,0
RM630,4936,Upto 5k,1169,63,23965,13,1
RM820,3201,Upto 5k,1451,67,19911,17,0
RM985,4724,Upto 5k,736,48,24232,11,1
RM1152,4877,Upto 5k,580,39,20460,21,1
RM1284,2044,Upto 5k,1181,82,5531,11,1
RM012,4193,Upto 5k,153,49,12682,12,0
RM072,2703,Upto 5k,1328,76,4956,23,1
RM595,2700,Upto 5k,1252,81,23779,24,1
RM658,2532,Upto 5k,1086,62,6054,14,3
RM853,3131,Upto 5k,1401,54,26342,13,1
RM1006,7988,5k-10k,332,51,9769,13,0
RM1064,8620,5k-10k,1246,77,23757,14,2
RM1091,9715,5k-10k,441,39,7288,13,1
RM1388,5373,5k-10k,136,89,6225,12,1
RM1460,4025,Upto 5k,1378,46,23679,13,1
RM1461,3785,Upto 5k,468,73,8489,14,0
RM144,2632,Upto 5k,438,75,23910,14,0
RM411,6091,5k-10k,317,43,24793,20,0
RM866,4115,Upto 5k,1329,61,13192,19,3
RM949,11916,10k-15k,634,95,25927,23,2
RM1297,9667,5k-10k,1092,64,2739,14,0
RM435,10648,10k-15k,1274,33,14394,25,1
RM451,6582,5k-10k,828,77,8346,13,0
RM457,11557,10k-15k,688,44,25291,21,1
RM645,2356,Upto 5k,1222,48,14871,19,1
RM896,6833,5k-10k,1332,80,17089,12,0
RM1342,4197,Upto 5k,311,89,18624,11,1
RM074,6220,5k-10k,548,66,7346,17,2
RM323,5055,5k-10k,1018,74,10557,16,0
RM501,6322,5k-10k,646,92,18089,12,1
RM528,5396,5k-10k,929,55,21703,12,0
RM936,6209,5k-10k,604,56,11693,15,2
RM1027,9204,5k-10k,601,97,23343,12,1
RM1242,9610,5k-10k,371,80,3840,13,1
RM031,2496,Upto 5k,924,78,6670,11,0
RM177,2500,Upto 5k,134,90,10515,14,0
RM456,16184,15k+,922,95,22578,19,1
RM620,4037,Upto 5k,586,48,21816,22,1
RM656,2277,Upto 5k,1075,57,22650,11,1
RM909,8380,5k-10k,536,82,21708,14,2
RM1067,3838,Upto 5k,1099,82,8192,11,0
RM1092,4320,Upto 5k,575,44,24152,13,0
RM1364,5487,5k-10k,217,43,10410,14,0
RM758,9725,5k-10k,216,75,12278,11,1
RM764,2220,Upto 5k,1333,87,18410,19,1
RM1028,3294,Upto 5k,401,86,3708,17,1
RM011,2426,Upto 5k,809,84,16479,13,1
RM082,2859,Upto 5k,1214,30,26278,18,0
RM152,7295,5k-10k,662,94,11439,13,2
RM345,8095,5k-10k,1296,62,18264,13,0
RM373,6540,5k-10k,755,97,19394,19,0
RM439,7632,5k-10k,1276,72,14295,12,0
RM462,4859,Upto 5k,195,80,6698,16,0
RM677,4014,Upto 5k,1137,51,19170,25,1
RM705,7823,5k-10k,882,92,6812,13,1
RM974,5363,5k-10k,817,60,10846,12,1
RM1233,6883,5k-10k,1370,49,5151,16,1
RM1303,2705,Upto 5k,185,91,9696,16,1
RM1381,5561,5k-10k,682,71,15975,16,1
RM1393,5204,5k-10k,1224,55,13586,11,0
RM1425,5098,5k-10k,1395,48,18698,19,0
RM798,2377,Upto 5k,1330,37,19373,20,1
RM496,3041,Upto 5k,1420,85,16346,11,1
RM843,2515,Upto 5k,1485,79,22955,11,0
RM1137,2408,Upto 5k,329,51,7324,17,3
RM1391,2367,Upto 5k,1404,32,18779,12,1
RM230,2389,Upto 5k,896,86,14961,13,0
RM337,2119,Upto 5k,318,77,4759,11,0
RM1078,2362,Upto 5k,224,100,7568,13,0
RM141,4200,Upto 5k,1033,41,10224,22,0
RM235,2436,Upto 5k,813,58,22149,13,1
RM383,3102,Upto 5k,575,73,6582,22,0
RM686,4294,Upto 5k,1283,52,11148,12,0
RM165,2566,Upto 5k,1450,79,25326,15,1
RM213,9981,5k-10k,1242,90,12916,14,0
RM522,4647,Upto 5k,1410,71,16673,20,2
RM1318,2379,Upto 5k,1297,53,19826,14,0
