emp_id,environment_satisfaction,job_satisfaction,relationship_satisfaction,work_life_balance,job_involvement,performance_rating,training_times_last_year
RM795,1,4,3,2,3,3,1
RM823,4,3,4,2,3,3,3
RM821,4,4,4,3,3,3,3
RM1457,3,3,4,4,3,3,2
RM1129,1,1,4,3,4,3,3
RM1441,4,2,2,3,3,3,3
RM1466,3,4,3,3,4,3,3
RM276,1,4,1,3,3,3,2
RM983,4,3,4,3,4,3,2
RM209,4,4,4,1,2,3,5
RM958,3,3,2,3,3,3,0
RM1043,3,3,4,3,2,3,5
RM250,1,3,4,3,4,3,1
RM1363,2,3,3,3,3,3,3
RM137,1,4,4,3,1,3,2
RM1269,1,3,4,2,2,4,2
RM663,3,3,4,2,2,3,3
RM667,2,3,1,4,3,3,3
RM1214,3,4,2,3,3,4,2
RM406,1,1,3,3,3,3,5
RM289,1,2,4,3,3,3,2
RM015,3,3,2,3,2,3,4
RM646,2,3,3,3,2,3,3
RM215,4,1,3,3,3,3,5
RM721,1,3,2,3,3,3,2
RM592,1,1,3,3,3,3,3
RM830,1,1,1,3,3,3,3
RM726,3,2,4,1,2,4,2
RM101,3,1,4,3,3,4,3
RM941,3,1,1,3,3,3,2
RM1172,1,1,2,1,3,3,3
RM037,1,3,3,3,2,3,2
RM1198,4,1,1,3,3,3,3
RM346,3,4,3,2,3,3,2
RM517,1,1,1,4,4,3,3
RM566,1,3,4,3,4,3,3
RM097,1,3,1,2,3,4,2
RM381,4,3,4,4,3,3,2
RM639,3,1,1,4,2,3,1
RM1004,1,4,2,2,3,3,2
RM1414,4,3,3,2,3,3,2
RM055,3,4,3,2,2,3,2
RM419,1,4,2,1,3,4,3
RM506,3,4,3,3,3,3,2
RM1225,4,3,3,4,1,3,3
RM1465,4,3,4,3,2,3,2
RM374,4,2,2,3,3,3,2
RM1170,2,3,1,3,4,3,0
RM1468,2,2,2,3,4,4,0
RM163,3,4,3,1,3,3,2
RM273,4,4,4,2,3,4,3
RM660,1,4,2,3,3,3,3
RM255,4,4,4,3,3,3,2
RM421,2,3,3,3,2,3,2
RM582,4,3,3,3,1,4,2
RM783,3,1,3,2,3,3,1
RM1014,4,1,2,3,3,3,3
RM181,3,4,3,3,3,4,0
RM310,3,4,3,3,3,3,4
RM1036,4,2,4,3,4,3,3
RM1228,2,3,4,4,3,3,2
RM1248,1,3,3,3,3,3,3
RM017,1,2,4,2,4,3,5
RM263,4,1,4,3,2,3,5
RM623,2,4,3,2,3,3,3
RM1076,3,4,2,4,3,4,5
RM1140,2,4,4,3,4,3,3
RM247,3,4,3,2,2,3,2
RM674,3,1,2,3,2,3,1
RM713,2,4,1,3,3,3,4
RM1190,4,4,3,3,3,3,5
RM495,3,3,4,3,3,3,3
RM614,3,4,3,1,3,3,1
RM918,3,1,4,3,3,3,3
RM1360,4,4,3,2,2,3,3
RM484,1,4,4,3,2,3,3
RM581,1,4,2,2,3,3,1
RM1124,1,3,3,3,3,3,4
RM1346,4,2,4,3,2,3,2
RM136,2,2,4,3,3,4,0
RM512,2,2,3,3,2,3,2
RM600,3,2,2,3,3,3,2
RM681,2,4,3,3,3,3,6
RM1020,3,1,1,2,2,3,3
RM1174,2,1,3,3,3,3,6
RM1200,1,3,2,2,3,3,2
RM079,1,3,1,4,3,3,3
RM341,4,4,3,2,3,3,2
RM1002,1,3,1,3,3,3,6
RM1277,2,2,1,3,2,3,2
RM1309,2,4,1,2,1,4,4
RM1377,2,4,4,4,3,3,0
RM968,2,2,3,3,3,4,3
RM1029,2,3,1,2,4,3,5
RM254,4,1,3,3,4,3,1
RM397,3,3,4,3,3,3,3
RM494,1,3,2,4,2,3,1
RM498,4,4,1,4,3,3,2
RM632,1,4,3,2,4,4,2
RM408,1,4,4,2,3,4,3
RM855,1,3,3,2,3,3,2
RM080,2,2,4,3,3,4,2
RM210,4,1,3,3,3,3,3
RM430,1,3,3,1,3,3,2
RM870,4,2,1,3,3,3,2
RM493,4,1,1,1,2,3,3
RM376,2,3,3,3,2,4,2
RM640,3,1,2,3,3,3,2
RM184,3,3,4,2,2,3,2
RM088,4,4,2,3,3,4,4
RM972,4,2,2,2,2,3,1
RM625,1,4,4,3,2,3,3
RM220,4,1,4,3,3,3,4
RM1337,2,4,2,4,2,4,2
RM893,1,2,2,4,2,4,2
RM1175,4,3,3,3,4,3,6
RM067,2,2,3,3,2,3,3
RM306,2,2,3,3,3,3,3
RM542,1,1,1,3,4,3,2
RM570,1,1,2,3,2,3,1
RM709,1,4,4,3,3,3,3
RM818,1,4,1,3,3,4,0
RM901,3,2,3,2,3,3,2
RM1348,2,4,4,2,2,4,2
RM1384,1,2,2,3,4,4,3
RM223,2,4,3,3,3,3,1
RM649,3,4,2,3,3,3,3
RM723,3,3,2,2,3,3,0
RM1257,3,2,2,2,2,3,4
RM1374,4,2,3,3,2,3,3
RM450,3,3,1,3,3,3,3
RM817,3,2,3,2,3,3,2
RM993,3,3,2,3,3,4,2
RM692,4,2,4,3,3,3,2
RM846,3,4,4,1,2,3,3
RM1030,3,3,3,4,3,3,2
RM460,1,3,1,3,2,3,3
RM717,1,3,2,4,3,3,2
RM198,3,3,2,3,3,3,5
RM410,1,3,2,3,3,3,3
RM414,4,4,4,4,2,3,4
RM879,4,1,1,4,4,3,3
RM331,3,3,2,4,2,3,3
RM813,3,1,3,3,3,3,1
RM1166,1,4,3,3,3,3,3
RM505,1,1,4,3,3,3,4
RM697,3,2,2,2,3,3,5
RM719,4,1,3,3,3,3,2
RM049,1,4,3,3,3,4,4
RM1469,4,2,4,2,2,3,3
RM107,1,2,1,2,3,3,1
RM752,4,3,1,3,3,3,3
RM1453,2,3,4,3,3,3,3
RM628,3,4,3,3,2,4,3
RM995,4,3,2,2,4,3,3
RM1435,1,4,2,2,3,3,3
RM333,4,3,4,2,3,3,4
RM773,1,3,2,3,3,3,4
RM108,3,3,4,3,2,3,1
RM022,3,1,2,3,2,4,4
RM1292,4,1,2,1,3,3,4
RM001,2,4,1,1,3,3,0
RM183,2,2,4,2,3,4,5
RM858,3,3,3,3,3,3,4
RM929,1,4,4,3,3,3,2
RM1334,3,2,3,3,3,4,2
RM854,3,1,3,3,3,4,4
RM551,2,1,4,4,3,3,2
RM1026,4,3,3,3,3,3,3
RM1098,3,1,2,3,2,3,3
RM1218,3,3,4,3,4,3,1
RM479,2,3,3,3,3,3,1
RM619,1,1,3,2,4,3,3
RM635,3,1,4,3,3,3,3
RM1434,1,3,2,2,3,4,3
RM039,2,1,4,4,2,3,3
RM594,3,2,1,3,3,3,2
RM634,1,1,3,3,2,4,3
RM1012,1,2,4,3,3,3,3
RM1184,4,1,1,3,4,4,3
RM1454,2,4,1,2,2,3,2
RM060,1,3,3,4,2,3,2
RM249,3,1,1,2,2,3,2
RM274,3,4,2,4,3,3,5
RM365,3,1,2,3,3,4,3
RM768,4,2,1,2,3,3,3
RM1159,3,3,1,2,3,3,2
RM1345,4,1,3,3,3,4,2
RM169,1,4,3,4,2,4,2
RM308,1,2,3,3,2,3,2
RM519,4,4,1,3,2,4,2
RM1162,4,3,4,4,2,3,6
RM1273,4,3,2,3,2,3,3
RM655,4,4,3,3,2,3,2
RM706,1,3,4,3,4,3,3
RM1156,3,3,4,3,2,3,3
RM336,2,4,3,2,1,4,2
RM1287,3,1,4,2,3,3,5
RM1300,3,4,4,3,3,3,3
RM1458,3,3,2,3,3,3,2
RM134,3,3,3,3,3,3,2
RM301,4,2,2,3,3,3,2
RM404,2,1,3,3,4,3,2
RM784,2,3,3,3,4,3,3
RM1267,3,1,2,3,3,4,2
RM1446,1,2,3,3,2,4,3
RM1449,3,2,3,3,2,3,5
RM598,4,4,4,3,2,3,4
RM673,3,3,1,3,2,3,6
RM1000,3,1,3,3,3,3,5
RM1264,2,2,2,2,3,4,6
RM899,3,4,2,3,1,3,2
RM1134,4,2,3,3,4,3,0
RM1400,1,3,2,3,3,3,1
RM142,3,4,2,2,3,3,2
RM154,2,2,3,1,3,3,2
RM175,3,1,1,4,3,3,3
RM626,4,1,3,3,3,3,2
RM714,4,4,4,3,3,3,2
RM760,2,2,1,3,3,3,3
RM1035,2,1,2,3,1,3,2
RM1093,4,4,4,3,3,4,3
RM1455,4,3,3,3,3,3,3
RM413,3,3,3,2,3,3,5
RM724,4,3,2,3,3,3,3
RM917,4,2,3,3,2,3,2
RM1232,3,2,4,3,3,3,3
RM1236,3,4,2,2,3,3,5
RM970,4,4,3,3,3,3,2
RM317,3,3,4,3,2,3,2
RM474,4,3,3,3,2,3,5
RM1055,3,2,2,3,3,3,3
RM1196,3,3,1,3,3,3,2
RM1255,4,4,3,4,3,3,1
RM589,3,3,4,3,3,3,3
RM377,3,4,3,2,3,3,2
RM963,3,2,2,3,3,3,2
RM407,4,3,3,3,2,3,4
RM1001,3,1,3,1,3,3,2
RM096,1,3,1,1,3,3,5
RM729,3,3,3,3,3,3,2
RM895,4,4,1,3,3,3,2
RM284,2,4,4,3,3,3,4
RM1011,2,4,4,4,4,3,4
RM086,4,4,1,2,1,3,3
RM759,2,4,3,1,3,3,1
RM898,3,4,4,3,2,3,2
RM844,1,4,2,3,4,4,2
RM1005,3,1,4,3,4,3,2
RM192,4,2,4,2,3,3,2
RM321,4,3,1,3,3,3,3
RM340,2,2,1,3,3,3,3
RM486,1,3,3,2,2,3,5
RM531,3,1,4,3,3,3,3
RM555,4,1,1,1,2,3,2
RM611,3,4,2,3,2,3,3
RM671,2,3,3,3,3,3,2
RM903,1,3,2,3,3,3,2
RM1150,4,1,1,3,2,3,3
RM1351,1,3,2,2,4,3,5
RM1394,4,4,1,3,3,3,5
RM290,4,4,4,3,3,4,3
RM303,2,1,3,3,4,3,2
RM375,2,4,4,3,3,3,1
RM630,2,4,4,3,2,3,6
RM820,1,2,1,1,2,3,2
RM985,3,1,3,3,2,3,0
RM1152,2,1,2,2,1,4,5
RM1284,3,4,3,4,3,3,6
RM012,4,3,4,3,2,3,3
RM072,3,2,4,3,3,4,3
RM595,3,3,3,3,4,4,3
RM658,1,4,3,3,2,3,5
RM853,2,4,1,3,3,3,5
RM1006,2,1,1,2,2,3,3
RM1064,3,3,3,3,2,3,3
RM1091,3,1,3,3,1,3,3
RM1388,1,1,1,2,3,3,5
RM1460,4,2,1,3,2,3,2
RM1461,4,1,2,1,2,3,3
RM144,1,3,3,2,3,3,4
RM411,3,4,3,3,1,4,2
RM866,3,1,3,3,3,3,3
RM949,2,1,4,3,3,4,2
RM1297,1,3,2,3,3,3,3
RM435,3,2,4,4,3,4,6
RM451,2,4,3,4,3,3,2
RM457,3,4,3,2,2,4,3
RM645,4,4,2,3,3,3,2
RM896,3,1,4,2,3,3,2
RM1342,2,3,1,3,3,3,2
RM074,2,2,2,3,3,3,3
RM323,1,4,3,2,4,3,0
RM501,1,4,4,2,3,3,2
RM528,4,4,4,2,3,3,2
RM936,3,4,3,4,4,3,4
RM1027,4,4,3,2,3,3,3
RM1242,4,3,3,1,1,3,2
RM031,3,4,4,3,3,3,3
RM177,3,4,1,4,3,3,2
RM456,1,3,3,3,4,3,2
RM620,1,1,1,3,4,4,5
RM656,4,2,3,4,3,3,4
RM909,4,3,4,3,4,3,3
RM1067,1,2,4,3,2,3,5
RM1092,4,2,4,3,2,3,2
RM1364,2,3,2,2,3,3,2
RM758,2,4,4,2,4,3,2
RM764,3,3,4,3,3,3,2
RM1028,4,2,1,2,2,3,2
RM011,1,2,3,3,4,3,5
RM082,2,3,1,3,2,3,3
RM152,3,2,1,3,3,3,3
RM345,3,2,4,3,3,3,5
RM373,3,2,3,3,2,3,5
RM439,4,3,3,3,3,3,2
RM462,1,3,4,3,3,3,3
RM677,4,4,4,1,3,4,2
RM705,4,4,2,3,3,3,2
RM974,4,4,2,3,2,3,0
RM1233,4,3,2,3,3,3,3
RM1303,2,3,2,4,1,3,2
RM1381,2,1,4,1,3,3,2
RM1393,3,4,4,3,3,3,2
RM1425,2,3,2,3,3,3,5
RM798,1,3,3,2,3,4,0
RM496,3,1,2,3,3,3,3
RM843,3,4,4,2,3,3,4
RM1137,3,2,3,3,3,3,3
RM1391,3,4,1,2,2,3,2
RM230,3,4,3,2,2,3,3
RM337,2,1,4,2,1,3,4
RM1078,1,1,3,1,2,3,2
RM141,1,1,1,4,3,4,2
RM235,3,4,3,1,3,3,2
RM383,3,1,3,3,3,4,2
RM686,3,1,2,3,2,3,2
RM165,3,3,4,2,2,3,2
RM213,4,3,4,3,3,3,2
RM522,4,4,2,3,4,4,3
RM1318,4,4,3,2,3,3,3
RM098,2,3,2,4,3,3,3
RM828,3,3,4,3,2,3,2
RM1365,3,4,3,3,2,3,2
RM156,4,3,1,3,3,3,1
RM283,2,4,1,2,3,3,3
RM350,4,3,1,2,3,3,3
RM698,3,4,2,3,3,3,5
RM1058,1,2,1,1,3,3,4
RM121,1,3,3,2,1,4,2
RM217,3,1,3,2,2,3,5
RM624,2,4,2,2,2,3,3
RM1245,4,1,4,3,2,3,2
RM680,4,3,4,2,3,3,2
RM727,3,1,3,3,3,3,1
RM1396,1,4,3,3,3,3,4
RM145,4,4,4,4,1,3,2
RM261,2,2,3,1,4,4,3
RM882,4,3,4,3,3,3,2
RM1261,2,2,2,3,3,3,3
RM1376,1,3,1,3,4,3,2
RM122,3,2,1,4,3,3,2
RM329,2,4,3,2,2,3,6
RM873,2,3,1,2,3,3,3
RM1048,4,1,1,3,3,3,2
RM1416,2,3,3,2,2,3,2
RM112,1,3,4,3,1,4,3
RM978,1,3,3,3,2,4,2
RM1268,4,3,3,3,3,3,3
RM1291,4,1,3,2,3,3,3
RM229,3,3,1,4,3,3,3
RM103,4,4,2,3,2,3,5
RM1138,2,3,2,2,2,3,2
RM1439,4,1,1,2,3,3,3
RM021,1,3,4,2,4,3,5
RM1169,1,4,3,3,3,3,2
RM268,2,1,4,3,4,3,2
RM912,3,4,4,3,1,3,4
RM279,3,2,1,1,3,4,6
RM454,2,3,2,2,3,3,2
RM615,3,3,1,3,2,3,2
RM770,1,3,3,3,2,3,5
RM044,4,3,4,3,3,3,0
RM332,3,2,4,3,3,3,0
RM538,4,1,3,2,3,4,4
RM577,3,4,2,3,3,3,3
RM781,2,1,1,2,2,3,2
RM1071,3,1,4,3,3,3,5
RM1382,3,3,3,2,3,3,3
RM824,4,2,4,2,3,3,2
RM1126,1,4,4,4,3,3,0
RM1333,4,4,2,2,2,4,3
RM420,3,4,3,1,3,3,3
RM932,3,3,3,3,3,3,3
RM225,3,3,4,3,1,3,2
RM260,3,2,2,4,2,3,2
RM1240,4,4,4,2,3,4,3
RM1464,2,1,2,3,3,3,2
RM1227,1,3,1,2,3,3,3
RM040,3,1,1,3,4,3,3
RM1254,4,2,4,2,3,3,2
RM1266,4,2,4,2,3,3,2
RM189,4,3,3,2,2,3,2
RM416,4,3,4,2,1,3,3
RM607,3,4,3,3,2,3,3
RM924,3,2,4,4,2,3,5
RM1016,4,1,3,3,3,3,2
RM057,2,1,4,2,3,4,3
RM962,3,3,2,3,3,3,3
RM1216,1,4,3,4,2,3,2
RM1289,2,4,3,3,3,3,6
RM208,2,4,1,3,3,3,2
RM360,1,4,1,3,2,3,2
RM1023,3,3,1,1,4,3,2
RM1212,3,4,3,2,1,3,2
RM009,4,3,2,3,2,4,2
RM084,2,4,4,3,1,3,3
RM704,3,4,2,3,3,3,1
RM1452,1,4,3,3,3,3,1
RM401,2,3,3,3,3,3,3
RM1438,4,4,3,2,3,3,3
RM534,4,1,3,3,2,4,2
RM447,4,4,4,3,3,3,3
RM961,3,1,4,3,3,3,2
RM316,3,4,1,3,3,3,5
RM544,1,3,3,3,1,3,5
RM567,2,3,4,3,4,3,2
RM1371,3,2,3,4,3,3,4
RM002,3,2,4,3,2,4,3
RM202,4,4,1,3,3,3,0
RM1007,1,1,1,3,2,4,2
RM529,2,3,1,3,3,3,4
RM891,4,3,1,1,3,3,2
RM1077,2,4,1,3,3,4,2
RM1442,3,3,1,2,3,4,2
RM071,1,3,4,2,2,3,2
RM1272,2,2,2,3,3,3,3
RM415,1,2,2,3,3,3,4
RM398,2,4,2,3,2,3,3
RM564,3,4,2,2,3,4,5
RM886,3,4,2,3,3,3,4
RM476,1,2,4,4,3,4,5
RM1298,4,2,3,3,3,3,3
RM1042,4,1,4,3,3,3,4
RM206,2,4,4,2,3,4,3
RM344,4,2,1,3,2,3,2
RM1173,3,3,3,3,2,3,2
RM845,3,3,1,3,2,3,3
RM1065,3,3,1,4,3,4,3
RM1110,3,2,2,3,3,3,3
RM1252,3,1,1,3,2,3,2
RM311,1,1,4,3,2,3,1
RM322,4,4,4,3,3,3,3
RM1359,3,4,4,3,3,3,2
RM864,2,3,4,3,3,3,2
RM568,4,4,3,3,3,4,5
RM835,2,3,1,2,3,4,3
RM1343,3,4,4,3,3,3,3
RM1386,4,3,3,2,3,3,2
RM1447,4,3,4,3,2,4,2
RM699,3,3,2,3,3,3,3
RM836,3,3,2,1,3,3,2
RM871,3,1,4,3,3,3,2
RM1451,3,4,3,3,3,3,2
RM1341,2,3,1,3,2,3,4
RM1356,3,2,3,1,2,3,1
RM116,3,4,1,3,3,3,3
RM487,4,3,3,2,3,3,3
RM964,2,1,4,3,3,3,3
RM987,1,4,4,4,2,3,2
RM369,3,3,1,3,2,3,6
RM388,4,2,3,3,3,3,5
RM418,3,3,4,3,3,3,2
RM885,2,2,2,4,2,3,2
RM947,4,2,3,3,2,3,2
RM1357,3,2,3,3,3,4,3
RM351,3,3,3,3,3,3,5
RM840,2,1,4,4,3,3,3
RM236,4,4,3,3,3,4,3
RM850,1,3,2,2,1,3,2
RM1270,2,4,2,3,3,3,5
RM053,2,1,3,2,3,4,2
RM756,4,4,2,4,3,3,4
RM914,1,2,1,3,1,3,2
RM533,4,1,4,3,3,3,2
RM1155,4,3,3,3,3,3,2
RM092,3,4,4,1,3,4,2
RM562,3,1,1,4,2,3,3
RM083,1,4,4,3,3,3,4
RM1402,3,2,1,3,4,3,0
RM099,4,3,3,2,3,3,1
RM880,2,4,2,3,4,3,3
RM178,2,4,3,2,2,4,3
RM514,4,3,4,3,3,3,5
RM778,3,1,1,2,2,3,6
RM218,3,3,4,2,3,3,1
RM422,3,2,2,4,2,3,2
RM940,4,3,1,3,3,3,3
RM237,1,1,1,4,3,4,3
RM437,1,4,1,3,1,3,2
RM025,2,1,3,3,3,3,2
RM1113,3,2,1,3,3,3,2
RM1084,4,1,2,1,3,3,3
RM668,2,4,3,2,1,3,1
RM1112,3,4,2,3,2,3,4
RM569,4,1,4,3,3,3,2
RM1355,1,4,4,3,3,3,3
RM275,4,3,1,4,2,3,4
RM735,2,1,1,2,1,3,3
RM1409,4,4,3,4,3,3,6
RM475,2,4,2,3,4,3,3
RM256,1,3,4,3,3,3,3
RM734,4,4,2,3,4,3,2
RM782,1,1,1,3,2,3,2
RM999,1,4,4,3,2,3,2
RM1350,2,3,3,2,2,3,3
RM171,3,2,4,2,3,3,3
RM513,1,4,4,3,2,3,0
RM1018,2,1,2,4,3,3,3
RM1249,3,4,3,2,3,3,5
RM405,3,1,4,3,3,3,2
RM789,3,3,4,4,3,3,4
RM810,4,2,2,2,3,3,3
RM1074,3,2,2,2,1,3,2
RM253,3,4,1,3,3,3,1
RM573,2,3,1,2,3,3,3
RM809,3,4,1,3,3,4,1
RM860,2,4,1,2,1,3,2
RM904,3,4,2,3,3,3,2
RM906,4,4,2,2,2,3,2
RM1123,2,1,4,3,3,3,3
RM1325,4,3,4,3,1,3,3
RM033,4,3,1,3,2,3,5
RM147,2,4,4,3,2,3,3
RM325,4,4,4,3,3,3,2
RM731,2,1,3,2,4,3,4
RM1142,2,2,2,2,2,3,3
RM1260,3,3,3,3,4,3,3
RM1413,4,2,3,2,3,3,6
RM059,4,4,4,2,3,4,3
RM073,3,2,2,3,3,3,4
RM076,3,4,4,3,3,4,2
RM897,3,1,2,3,2,3,2
RM1015,1,2,3,4,3,3,3
RM170,3,3,1,3,3,4,2
RM627,3,3,3,2,4,3,3
RM1191,4,2,3,2,3,3,4
RM186,4,2,4,3,3,3,5
